transaction_id,order_date,total_revenue
10001,2024-01-01,1999.98
10002,2024-01-02,499.99
10003,2024-01-03,209.97
10004,2024-01-04,63.96
10005,2024-01-05,89.99
10006,2024-01-06,149.95
10007,2024-01-07,2499.99
10008,2024-01-08,1199.98
10009,2024-01-09,539.94
10010,2024-01-10,51.98
10011,2024-01-11,129.99
10012,2024-01-12,599.97
10013,2024-01-13,1499.98
10014,2024-01-14,189.99
10015,2024-01-15,499.98
10016,2024-01-16,107.97
10017,2024-01-17,399.99
10018,2024-01-18,479.96
10019,2024-01-19,999.98
10020,2024-01-20,99.99
10021,2024-01-21,179.97
10022,2024-01-22,45.98
10023,2024-01-23,49.99
10024,2024-01-24,89.97
10025,2024-01-25,299.99
10026,2024-01-26,179.99
10027,2024-01-27,359.98
10028,2024-01-28,38.97
10029,2024-01-29,29.99
10030,2024-01-30,259.98
10031,2024-01-31,699.98
10032,2024-02-01,269.97
10033,2024-02-02,149.95
10034,2024-02-03,79.96
10035,2024-02-04,79.98
10036,2024-02-05,1895.0
10037,2024-02-06,1199.97
10038,2024-02-07,1599.98
10039,2024-02-08,239.96
10040,2024-02-09,74.97
10041,2024-02-10,105.0
10042,2024-02-11,259.98
10043,2024-02-12,1199.97
10044,2024-02-13,199.99
10045,2024-02-14,279.98
10046,2024-02-15,130.0
10047,2024-02-16,52.0
10048,2024-02-17,239.94
10049,2024-02-18,259.98
10050,2024-02-19,299.99
10051,2024-02-20,464.97
10052,2024-02-21,53.98
10053,2024-02-22,49.0
10054,2024-02-23,249.95
10055,2024-02-24,239.96
10056,2024-02-25,499.99
10057,2024-02-26,149.95
10058,2024-02-27,84.0
10059,2024-02-28,46.0
10060,2024-02-29,349.0
10061,2024-03-01,899.97
10062,2024-03-02,399.98
10063,2024-03-03,99.9
10064,2024-03-04,75.96
10065,2024-03-05,102.0
10066,2024-03-06,599.98
10067,2024-03-07,1199.99
10068,2024-03-08,659.97
10069,2024-03-09,239.96
10070,2024-03-10,21.98
10071,2024-03-11,78.0
10072,2024-03-12,389.97
10073,2024-03-13,1599.99
10074,2024-03-14,899.99
10075,2024-03-15,249.95
10076,2024-03-16,59.96
10077,2024-03-17,32.0
10078,2024-03-18,209.97
10079,2024-03-19,499.98
10080,2024-03-20,499.99
10081,2024-03-21,179.98
10082,2024-03-22,38.97
10083,2024-03-23,100.0
10084,2024-03-24,149.94
10085,2024-03-25,99.99
10086,2024-03-26,2599.98
10087,2024-03-27,239.97
10088,2024-03-28,55.96
10089,2024-03-29,105.0
10090,2024-03-30,259.98
10091,2024-03-31,199.98
10092,2024-04-01,179.99
10093,2024-04-02,319.96
10094,2024-04-03,44.97
10095,2024-04-04,68.0
10096,2024-04-05,999.99
10097,2024-04-06,899.97
10098,2024-04-07,349.99
10099,2024-04-08,119.94
10100,2024-04-09,25.98
10101,2024-04-10,82.0
10102,2024-04-11,219.98
10103,2024-04-12,3899.99
10104,2024-04-13,699.98
10105,2024-04-14,119.97
10106,2024-04-15,43.96
10107,2024-04-16,6.5
10108,2024-04-17,399.99
10109,2024-04-18,459.98
10110,2024-04-19,159.99
10111,2024-04-20,59.96
10112,2024-04-21,37.98
10113,2024-04-22,15.0
10114,2024-04-23,689.85
10115,2024-04-24,249.99
10116,2024-04-25,599.9
10117,2024-04-26,149.97
10118,2024-04-27,67.96
10119,2024-04-28,29.98
10120,2024-04-29,249.99
10121,2024-04-30,1199.98
10122,2024-05-01,89.99
10123,2024-05-02,64.95
10124,2024-05-03,44.97
10125,2024-05-04,30.0
10126,2024-05-05,199.99
10127,2024-05-06,499.99
10128,2024-05-07,799.98
10129,2024-05-08,294.0
10130,2024-05-09,17.98
10131,2024-05-10,36.0
10132,2024-05-11,159.8
10133,2024-05-12,1299.99
10134,2024-05-13,159.98
10135,2024-05-14,139.96
10136,2024-05-15,29.97
10137,2024-05-16,6.8
10138,2024-05-17,199.9
10139,2024-05-18,1499.99
10140,2024-05-19,139.99
10141,2024-05-20,134.97
10142,2024-05-21,23.98
10143,2024-05-22,29.5
10144,2024-05-23,299.99
10145,2024-05-24,549.0
10146,2024-05-25,399.9
10147,2024-05-26,196.0
10148,2024-05-27,32.97
10149,2024-05-28,25.0
10150,2024-05-29,299.98
10151,2024-05-30,349.99
